"PO #";"Date de commande vendeur";"PO Status";"Vendeur";"PO Item SKU";"SKU Vendeur";"Pays";"PO Item Name";"Prix unitaire HT";"PO Item Qty";"Qté expédiée";"Taux TVA";"PO Item Tax";"Prix total TTC";"Prix total HT";"Montant remboursé";"Com."
"100257776-3";"19 sept. 2020 18:24:25";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100258045-1";"21 sept. 2020 13:39:26";"Expédiée";"Es-Natura";"772-19960";"2.BH.10021.01";"FR";"DÉO - Baume déodorant Naturel";"7,1667";"1";"1,0000";"20,0000";"1,4333";"8,6";"7,1667";"";"3,01"
"100258288-9";"22 sept. 2020 23:23:17";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100258295-2";"23 sept. 2020 06:22:28";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100258592-6";"24 sept. 2020 19:12:02";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100258930-2";"27 sept. 2020 12:08:05";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100259291-3";"29 sept. 2020 15:47:42";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100259786-1";"2 oct. 2020 17:59:00";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100259967-3";"3 oct. 2020 18:37:16";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100260526-3";"6 oct. 2020 19:10:54";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100260533-1";"6 oct. 2020 19:55:39";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100260535-2";"6 oct. 2020 20:07:45";"Expédiée";"Es-Natura";"772-19960";"2.BH.10021.01";"FR";"DÉO - Baume déodorant Naturel";"7,1667";"1";"1,0000";"20,0000";"1,4333";"8,6";"7,1667";"";"3,01"
"100260701-11";"7 oct. 2020 18:51:11";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100260940-3";"9 oct. 2020 09:41:10";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100261040-2";"9 oct. 2020 19:37:05";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100261797-3";"14 oct. 2020 19:55:10";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100261843-4";"14 oct. 2020 23:31:31";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100262721-2";"21 oct. 2020 14:43:28";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100262914-1";"22 oct. 2020 21:50:55";"Expédiée";"Es-Natura";"772-19999";"2.BB.10040.04";"FR";"SOIN DE RASAGE - Après-rasage et épilation";"14,9167";"1";"1,0000";"20,0000";"2,9833";"17,9";"14,9167";"";"6,27"
"100263588-6";"27 oct. 2020 10:16:46";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100264193-2";"30 oct. 2020 15:57:16";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"2";"2,0000";"20,0000";"1,6333";"9,8";"8,1667";"";"3,43"
"100264315-1";"31 oct. 2020 10:50:40";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100264875-4";"2 nov. 2020 17:59:02";"Expédiée";"Es-Natura";"772-19966";"2.BB.10060.04";"FR";"VOILE DE NUIT - Sérum Anti-âge Visage &amp; Cou";"29,0833";"1";"1,0000";"20,0000";"5,8167";"34,9";"29,0833";"";"12,22"
"100265125-2";"3 nov. 2020 17:34:39";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100265226-4";"4 nov. 2020 08:21:23";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100265327-1";"4 nov. 2020 16:24:24";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100265505-2";"5 nov. 2020 09:33:48";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100265771-2";"6 nov. 2020 08:35:41";"Expédiée";"Es-Natura";"772-19999";"2.BB.10040.04";"BE";"SOIN DE RASAGE - Après-rasage et épilation";"14,9167";"1";"1,0000";"20,0000";"2,9833";"17,9";"14,9167";"";"6,27"
"100265860-1";"6 nov. 2020 14:56:39";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"2";"2,0000";"20,0000";"3,6";"21,6";"18";"";"7,56"
"100267067-1";"11 nov. 2020 10:32:10";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100269363-1";"21 nov. 2020 17:55:09";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100270234-2";"25 nov. 2020 17:21:30";"Expédiée";"Es-Natura";"772-19999";"2.BB.10040.04";"MC";"SOIN DE RASAGE - Après-rasage et épilation";"14,9166";"1";"1,0000";"20,0000";"2,9834";"17,9";"14,9166";"";"6,27"
"100270364-2";"26 nov. 2020 12:57:00";"Expédiée";"Es-Natura";"772-21196";"Pack M&amp;MME";"FR";"Pack Monsieur &amp; Madame";"27,8989";"1";"1,0000";"0,0000";"0";"27,8989";"27,8989";"";"9,76"
"100270730-1";"27 nov. 2020 16:18:56";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"3,675";"1";"1,0000";"20,0000";"0,735";"4,41";"3,675";"";"1,54"
"100271112-7";"28 nov. 2020 15:11:08";"Expédiée";"Es-Natura";"772-19960";"2.BH.10021.01";"FR";"DÉO - Baume déodorant Naturel";"7,1666";"1";"1,0000";"20,0000";"1,4334";"8,6";"7,1666";"";"3,01"
"100271121-3";"28 nov. 2020 15:23:37";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"3,675";"1";"1,0000";"20,0000";"0,735";"4,41";"3,675";"";"1,54"
"100271468-1";"29 nov. 2020 14:05:22";"Expédiée";"Es-Natura";"772-21190";"Rituel du soir";"FR";"Pack Rituel du soir - Démaquillant &amp; sérum";"39,8961";"1";"1,0000";"0,0000";"0";"39,8961";"39,8961";"";"13,96"
"100272294-6";"2 déc. 2020 07:55:00";"Expédiée";"Es-Natura";"772-21196";"Pack M&amp;MME";"FR";"Pack Monsieur &amp; Madame";"27,8989";"1";"1,0000";"0,0000";"0";"27,8989";"27,8989";"";"9,76"
"100273388-3";"5 déc. 2020 14:50:24";"Expédiée";"Es-Natura";"772-21184";"Pack des voiles";"DE";"Pack des Voiles Anti-âge";"52,8964";"1";"1,0000";"0,0000";"0";"52,8964";"52,8964";"";"18,51"
"100273460-3";"5 déc. 2020 17:13:50";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100274067-1";"6 déc. 2020 22:44:29";"Expédiée";"Es-Natura";"772-19999";"2.BB.10040.04";"FR";"SOIN DE RASAGE - Après-rasage et épilation";"14,9167";"1";"1,0000";"20,0000";"2,9833";"17,9";"14,9167";"";"6,27"
"100275527-1";"11 déc. 2020 23:18:39";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100275530-1";"11 déc. 2020 23:36:10";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"1";"1,0000";"20,0000";"1,8";"10,8";"9";"";"3,78"
"100276187-3";"14 déc. 2020 10:55:43";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"FR";"Dentifrice Bio en poudre";"4,0833";"1";"1,0000";"20,0000";"0,8167";"4,9";"4,0833";"";"1,72"
"100276586-3";"15 déc. 2020 15:51:47";"Expédiée";"Es-Natura";"772-21184";"Pack des voiles";"FR";"Pack des Voiles Anti-âge";"52,8964";"1";"1,0000";"0,0000";"0";"52,8964";"52,8964";"";"18,51"
"100276980-5";"16 déc. 2020 21:52:37";"Expédiée";"Es-Natura";"772-19954";"2.BH.10022.01";"BE";"Dentifrice Bio en poudre";"4,0834";"1";"1,0000";"20,0000";"0,8166";"4,9";"4,0834";"";"1,72"
"100277114-1";"17 déc. 2020 16:06:29";"Expédiée";"Es-Natura";"772-19963";"2.BH.10020.01";"FR";"NETTOYANT - Démaquillant au Géranium";"9";"2";"2,0000";"20,0000";"3,6";"21,6";"18";"";"7,56"
"100277437-2";"19 déc. 2020 13:25:06";"Expédiée";"Es-Natura";"772-21190";"Rituel du soir";"FR";"Pack Rituel du soir - Démaquillant &amp; sérum";"39,8961";"1";"1,0000";"0,0000";"0";"39,8961";"39,8961";"";"13,96"
